year,president,allnoncerm_eo,divided,lame_duck,war,trend,administration_change,spending_percent_gdp,inflation,averagemajsize,lnlegexp,lncommtot1,lneopexp,postlra,tr,taft,wilson,harding,coolidge,hoover,fdr,truman,ike,jfk,lbj,nixon,ford,carter,reagan,bush41,clinton,bush43,obama
1905,tr,172,0,0,0,0,0,2.2899999618530273,-1.159999966621399,0.5829476118087769,5.435348033905029,5.414939880371094,-2.831402063369751,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1906,tr,164,0,0,0,1,0,2.2300000190734863,2.2300000190734863,0.6421468257904053,5.34710693359375,5.452902793884277,-2.6553421020507812,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1907,tr,188,0,0,0,2,0,2.1500000953674316,4.46999979019165,0.6421468257904053,5.325862884521484,5.489477157592773,-2.694025993347168,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1908,tr,328,0,0,0,3,0,2.5299999713897705,-2.0899999141693115,0.6218451261520386,5.486563205718994,5.524759769439697,-2.649013042449951,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1909,taft,97,0,0,0,4,0,2.4800000190734863,-1.1200000047683716,0.6218451261520386,5.482065200805664,5.558839797973633,-2.5521559715270996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1910,taft,241,0,0,0,5,0,2.509999990463257,4.420000076293945,0.5851256251335144,5.45150899887085,5.591797828674316,-2.4199678897857666,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1911,taft,247,1,0,0,6,0,2.569999933242798,0,0.5851256251335144,5.436499118804932,5.6237030029296875,-2.0697250366210938,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1912,taft,345,1,0,0,7,0,2.4700000286102295,2.059999942779541,0.5526316165924072,5.348917007446289,5.654623031616211,-1.880776047706604,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1913,wilson,315,0,0,0,8,1,2.4800000190734863,2.130000114440918,0.5526316165924072,5.385529041290283,5.684615135192871,-2.3325119018554688,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1914,wilson,438,0,0,0,9,0,2.759999990463257,0.9399999976158142,0.622657299041748,5.388969898223877,5.713733196258545,-2.3905398845672607,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1915,wilson,339,0,0,0,10,0,2.7200000286102295,0.5199999809265137,0.622657299041748,5.366621017456055,5.707941055297852,-0.7281200885772705,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1916,wilson,358,0,0,0,11,0,2.0999999046325684,9.239999771118164,0.5577160716056824,5.266300201416016,5.702115058898926,-2.895003080368042,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1917,wilson,501,0,0,1,12,0,3.869999885559082,20.489999771118164,0.5577160716056824,5.148104190826416,5.696253776550293,-1.850437045097351,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1918,wilson,338,0,0,1,13,0,17.200000762939453,17.469999313354492,0.6088935732841492,5.050710201263428,5.690360069274902,-0.046487100422382355,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1919,wilson,305,1,0,0,14,0,24.06999969482422,14.869999885559082,0.6088935732841492,5.061245918273926,5.684430122375488,0.7127673029899597,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1920,wilson,250,1,0,0,15,0,7.679999828338623,15.84000015258789,0.5314044952392578,5.103561878204346,5.678464889526367,3.611974000930786,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1921,harding,225,0,0,0,16,1,7.489999771118164,-10.680000305175781,0.5314044952392578,5.197103977203369,5.672463893890381,-3.8827149868011475,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1922,harding,219,0,0,0,17,0,5.119999885559082,-6.309999942779541,0.6577914953231812,5.154601097106934,5.666427135467529,-3.7990310192108154,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1923,harding,212,0,0,0,18,0,4.349999904632568,1.7899999618530273,0.6577914953231812,4.9791340827941895,5.660353183746338,-3.32378888130188,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,coolidge,225,0,0,0,19,0,4.21999979019165,0.18000000715255737,0.5415822267532349,4.994462966918945,5.654242038726807,-3.0873830318450928,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
