deputyid,deputyname,partyid,congress_cat,party_cat,female,tier,alternate,educ_level2,age,state2,unit_individual,leadership,leg_experience,leg_exp_cat,leg_exp_dum,exec_experience,exec_exp_cat,exec_exp_dum,immed_govpartycon,amb2nd_govpartycon,ambition_immediate2014,ambition_immediate2014_2,genderimmedambcat2,genderimmedambcat3,gender2ndambcat3,dum1997,dum2000,dum2003,dum2006,postquota,immedmayorwin,immeddiplocwin,immedsenatewin,immedgovwin,immedregwin,secondmayorwin,seconddiplocwin,seconddipfedwin,secondsenatewin,secondgovwin,firstposition,firstposition3,powerleader,leadertype,nonpowerlead,age_cem,female2,include,include2,sample2,cem_weights_cont1,cem_weights_cont2,samplecont1c,samplecont2c,cem_weights_cont1party,cem_weights_cont2party,samplecont1cp,samplecont2cp
1,Aceves Saucedo Angel PRI,PRI,1997-2000,PRI,0,1,0,at least some doctoral studies,57,Puebla,0,1,4,2,1,0,0,0,1,dep & gov party congr.,federal bureaucracy,federal bureaucracy,bur appt,bur appt,NA,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,1,power chair,0,40-59,0,0,0,NA,0,0,NA,NA,0,0,NA,NA
2,Acosta Herrera José Luis PRI,PRI,1997-2000,PRI,0,1,0,licenciatura,43,Aguascalientes,0,0,0,0,0,0,0,0,0,dep & gov party not congr.,union leader,union/union leader,other,other,bur appt,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,0,0,0,1,1.5915090374106766,1.6033479507505484,1,1,0.7116190476190476,0.7424863387978142,1,1
6,Adame Castillo Marco Antonio PAN,PAN,1997-2000,PAN,0,1,0,at least some master's studies,37,Morelos,0,0,0,0,0,0,0,0,1,dep & gov party congr.,senador,senador,senate ballot access,senate ballot access,exec ballot access,1,0,0,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,1,ballotaccess-won,won election,0,not a leader,0,21-39,0,0,0,1,2.1595223638939487,1.2541743970315398,1,1,2.168214285714286,1.3364754098360656,1,1
7,Aguilar Acuña Diego PRI,PRI,1997-2000,PRI,0,1,0,secundaria,51,Sinaloa,0,0,1,1,1,0,0,0,1,dep & gov party congr.,union leader,union/union leader,other,other,leg ballot access,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,0,0,0,1,0.8359441408621736,0.7784530740195764,1,1,0.3638961038961039,0.31820843091334894,1,1
8,Aguilar González José Oscar PRI,PRI,1997-2000,PRI,0,0,0,at least some master's studies,40,Puebla,0,0,1,1,1,0,0,0,1,dep & gov party congr.,federal bureaucracy,federal bureaucracy,bur appt,bur appt,bur appt,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,0,0,0,1,0.35321583416711566,0.1763682745825603,1,1,0.47897435897435897,0.2386563231850117,1,1
9,Aguirre Hervís Armando PRD,PRD,1997-2000,PRD,0,1,0,licenciatura,42,Veracruz,0,0,0,0,0,1,1,1,0,dep & gov party not congr.,state bureaucracy,state bureaucracy,bur appt,bur appt,bur appt,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,0,0,0,1,1.044930176077717,0.9406307977736549,1,1,0.5337142857142857,0,1,NA
10,Alanís de la Fuente Genaro PRI,PRI,1997-2000,PRI,0,1,0,licenciatura,38,Nuevo Leon,0,0,0,0,0,0,0,0,0,dep & gov party congr.,municipal party,municipal party,other,other,other,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,21-39,0,0,0,1,2.1595223638939487,2.8218923933209648,1,1,1.4555844155844155,1.1137295081967213,1,1
12,Alcántara Soria Juan Miguel PAN,PAN,1997-2000,PAN,0,1,0,licenciatura,42,Guanajuato,0,1,2,1,1,1,1,1,1,dep & gov party congr.,national party,national party/nat. party leader,other,other,bur appt,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,1,jcp/mdpres,0,40-59,0,0,0,1,0.28498095711210464,0,1,NA,0,0,NA,NA
14,Alejo Domínguez Cupertino PRI,PRI,1997-2000,PRI,0,0,0,licenciatura,51,Puebla,0,0,1,1,1,0,0,0,1,dep & gov party congr.,union,union/union leader,other,other,leg ballot access,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,0,0,0,1,0.35321583416711566,0.1763682745825603,1,1,0.47897435897435897,0.2386563231850117,1,1
16,Algara Cossío Javier PAN,PAN,1997-2000,PAN,0,0,0,at least some master's studies,53,San Luis Potosi,0,0,0,0,0,0,0,0,1,dep & gov party congr.,diputado local,diputado local,deputy ballot access,deputy/regidor ballot access,other,1,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,ballotaccess-won,won election,0,not a leader,0,40-59,0,0,0,1,0.6170847496521952,0.8062549695202756,1,1,0.3406686930091185,0.44549180327868854,1,1
17,Alonso Raya Agustín Miguel PRD,PRD,1997-2000,PRD,0,1,0,licenciatura,43,Guanajuato,0,0,2,1,1,1,1,1,0,dep & gov party not congr.,gobernador,gobernador,gub/pres ballot access,mayor/gov ballot access,leg ballot access,1,0,0,0,0,NA,NA,NA,0,NA,NA,NA,1,NA,NA,ballotaccess-lost,lost/appt. exec.,0,not a leader,0,40-59,0,0,0,1,0.3483100586925723,0,1,NA,0,0,NA,NA
18,Alvarado Gudiño Ruperto PRI,PRI,1997-2000,PRI,0,0,0,preparatoria,39,Queretaro,0,0,0,0,0,1,1,1,0,dep & gov party congr.,presidente municipal,presidente municipal,mayor ballot access,mayor/gov ballot access,other,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ballotaccess-won,won election,0,not a leader,0,21-39,0,0,0,1,0.3761748633879781,0,1,NA,0.14045112781954885,0,1,NA
19,Alvarez Arronte Omar PRI,PRI,1997-2000,PRI,0,0,0,licenciatura,39,Puebla,0,0,0,0,0,2,2,1,1,dep & gov party congr.,academic,non-political position,other,other,other,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,21-39,0,0,0,1,0.3761748633879781,0.6512059369202227,1,1,0.14045112781954885,0.24749544626593806,1,1
20,Alvarez Enríquez Fortunato PAN,PAN,1997-2000,PAN,0,1,0,licenciatura,60,Baja California,0,0,0,0,0,2,2,1,1,dep & gov party congr.,federal bureaucracy,federal bureaucracy,bur appt,bur appt,bur appt,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,60-95,0,0,0,1,0,0,NA,NA,0,0,NA,NA
21,Alvarez Hernández José Antonio PAN,PAN,1997-2000,PAN,0,0,0,at least some master's studies,30,Jalisco,0,0,0,0,0,0,0,0,1,dep & gov party congr.,presidente municipal,presidente municipal,mayor ballot access,mayor/gov ballot access,other,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ballotaccess-won,won election,0,not a leader,0,21-39,0,0,0,1,0.4770333412528709,0.3892265370097882,1,1,0.17216589861751153,0.10606947697111631,1,1
23,Andrade Rosas Gabriel Alfonso PRI,PRI,1997-2000,PRI,0,0,0,tecnico,63,Veracruz,0,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,other chair,1,60-95,0,0,0,NA,0,0,NA,NA,0,0,NA,NA
24,Angeles Cerón Esteban Miguel PRI,PRI,1997-2000,PRI,0,0,0,licenciatura,51,Hidalgo,0,0,1,1,1,1,1,1,1,NA,senador,senador,senate ballot access,senate ballot access,NA,1,0,0,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,ballotaccess-won,won election,0,not a leader,0,40-59,0,0,0,NA,0.48567177197978395,0.43413729128014844,1,NA,0.41696428571428573,0.4049925484351714,1,NA
25,Arce Macías Carlos Francisco PAN,PAN,1997-2000,PAN,0,1,0,licenciatura,42,Guanajuato,0,0,1,1,1,0,0,0,1,dep & gov party congr.,federal bureaucracy,federal bureaucracy,bur appt,bur appt,bur appt,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,0,0,0,1,0.8359441408621736,0.7784530740195764,1,1,0.5718367346938775,0.44549180327868854,1,1
