income,race,marital_status,loan_approved
25.070274936966648,Black,Divorced,0
50.16996440870155,Asian,Single,1
44.74242464371309,White,Married,1
47.90210397090118,White,Single,1
18.002600997886976,Asian,Divorced,1
41.65541303879318,Hispanic,Divorced,0
38.56674342928834,Asian,Single,0
44.518237739863665,Asian,Married,1
48.12323082756649,Hispanic,Single,0
54.42804906213361,White,Divorced,0
63.296125833226135,White,Single,1
54.79973167786442,Hispanic,Married,1
68.49433424186543,Asian,Divorced,1
46.91155374456619,Asian,Single,1
48.92083240133104,Hispanic,Married,1
47.33441555080533,Other,Married,1
46.968293019726715,Hispanic,Divorced,0
27.755442616495476,Hispanic,Divorced,0
72.5067016886965,Black,Single,0
53.649037725609304,Other,Divorced,1
51.36348047388407,Asian,Married,1
26.09645448342072,Hispanic,Single,0
93.5137571950333,Hispanic,Married,0
40.04097063352853,Other,Divorced,0
43.4033943290931,Black,Married,0
53.699721993154625,Hispanic,Divorced,0
37.41774117878417,White,Single,1
74.76718370976081,White,Married,1
49.90952584092179,Black,Single,1
78.84118031677694,White,Single,1
63.661357080281746,Black,Divorced,0
66.64716342723251,Other,Divorced,0
50.4166318460087,Black,Divorced,0
45.75715367263154,Black,Single,0
59.17297785037987,Asian,Single,1
45.045393962757515,White,Married,1
40.98658537681453,Asian,Divorced,1
58.67752151190224,Other,Single,1
64.46272300807995,Black,Single,0
37.12197161823985,Other,Divorced,0
58.213779193542564,Other,Single,1
39.36040639675627,Other,Single,1
43.71805579266991,Asian,Single,1
34.32246170330906,Other,Divorced,0
45.68800175606804,Hispanic,Single,0
49.40251828131484,Asian,Single,0
67.27330868770869,White,Single,0
54.390242800334065,White,Single,1
61.605620175580974,Other,Single,0
44.16955744663446,White,Married,1
54.814432270332425,Asian,Single,1
45.38634617401953,Asian,Married,1
42.988170426776996,Other,Single,0
63.90620116284484,Black,Married,1
61.248416736303,Black,Married,1
51.390496632268814,Black,Single,1
42.993398952370875,Other,Divorced,1
61.03294889413795,Black,Married,1
62.9089871187861,Asian,Divorced,1
58.56599543836942,Black,Divorced,0
68.1933398759132,Other,Divorced,0
38.07090122451917,Other,Married,1
60.214229458380636,White,Divorced,1
61.876919582993324,Other,Married,1
62.64524440134748,Black,Married,1
44.794310880452336,Black,Single,0
65.3722880905395,Hispanic,Divorced,0
46.01314862458955,Black,Single,0
40.3008296688807,White,Divorced,0
46.22247367787444,Black,Divorced,0
51.15557395178672,Asian,Married,1
36.52103040599553,White,Divorced,0
36.448043079464284,Hispanic,Married,0
37.79180557112254,Other,Divorced,0
61.133921869155905,White,Married,1
50.180351567746726,Asian,Divorced,0
32.0099992240869,White,Married,1
41.14087727876033,Other,Married,0
35.909423679851884,Other,Divorced,0
38.932011390309434,Hispanic,Single,0
58.73636368246624,Other,Divorced,1
38.70502873838421,Asian,Divorced,1
34.99744395037976,Black,Married,1
73.72223820733943,Black,Single,0
53.64521014769011,Asian,Divorced,1
56.91224647855754,Asian,Single,1
34.098813635643005,White,Single,0
59.65819713691193,Asian,Divorced,1
51.39702547547022,White,Married,1
68.75653725705882,Black,Single,1
44.73146106402597,Black,Single,0
49.479720464979664,Black,Divorced,1
50.61571999716271,Black,Married,1
62.146485736825106,White,Divorced,1
42.24582422599583,White,Married,1
40.2956546469661,Black,Single,1
31.87042680233585,Asian,Single,0
72.98155187960664,Hispanic,Single,1
55.342057946757045,White,Single,0
69.60684570500618,Black,Single,0
58.77970875622771,Hispanic,Married,1
36.735307463804155,Hispanic,Married,1
50.294708628907436,Black,Divorced,0
69.52750687871072,Other,Single,1
54.8180835060313,White,Married,1
50.432758433154035,Asian,Divorced,1
18.542143736624737,Other,Married,0
41.76135347678273,Black,Married,0
40.36223274314181,Black,Single,0
51.06744934697117,Asian,Divorced,0
63.427225727120636,Other,Married,1
45.32199383524048,White,Divorced,1
43.58476696356325,Black,Single,0
36.08969117900095,White,Single,1
46.346744631186475,Other,Divorced,1
48.83117985785187,Other,Divorced,1
76.68353970592669,Asian,Married,1
39.68635413077929,Hispanic,Married,0
49.42401109583065,White,Married,0
39.0262302339716,Black,Divorced,1
30.509331148185435,White,Single,1
39.28118169187223,White,Divorced,1
19.338446347611452,Black,Divorced,0
72.11086343523117,Hispanic,Divorced,0
54.4350031866191,White,Married,1
48.7286583226612,Black,Divorced,0
73.96119760118017,Hispanic,Divorced,0
52.708888333432995,Other,Single,0
44.52889899036122,Other,Single,0
43.37293936787059,Other,Married,1
76.63189522709224,Asian,Single,1
35.86376102414467,Asian,Single,1
52.11401745887783,Asian,Married,1
46.41175767177362,White,Married,1
55.61076934311256,White,Divorced,1
54.42930063997126,Black,Married,1
55.88106947619817,Hispanic,Single,1
53.09071451166368,White,Divorced,1
45.3092419540934,Hispanic,Divorced,0
49.595650671492,Asian,Single,0
43.8532020638495,Hispanic,Single,0
45.887905574648045,Hispanic,Divorced,0
43.191128191095004,White,Single,1
36.107916256008046,Asian,Married,0
68.81728581428179,White,Divorced,0
41.29214794296288,Black,Single,0
49.16840516699017,Other,Married,0
44.811721182653166,White,Divorced,0
51.08249022955741,Other,Single,0
34.93746420207916,Black,Divorced,0
60.756217986444966,Asian,Single,1
50.90364453302595,Hispanic,Married,0
45.69110273220732,Asian,Divorced,1
22.562625908771597,Other,Divorced,0
31.386464438634324,White,Divorced,0
36.43409038496503,Hispanic,Single,0
57.621766291296304,Black,Divorced,1
49.36071151047265,Black,Divorced,0
77.18157976193898,Asian,Single,1
56.845193570773304,Hispanic,Divorced,0
39.2761080392234,Hispanic,Married,0
64.72887452626387,White,Single,1
40.30269086792552,Black,Married,0
69.90846663053301,White,Divorced,1
35.818434476868255,White,Married,1
61.8281352779155,Black,Married,1
8.933673629858989,White,Married,0
29.549405111645115,Asian,Single,1
67.05495290564113,Black,Divorced,1
75.09794649636356,Asian,Divorced,1
57.86377661100746,Asian,Married,1
85.23014991600046,Other,Married,1
48.81848848313759,Other,Married,1
47.55537443039286,Asian,Single,1
26.030637211981706,White,Married,1
47.50638108626451,Other,Married,0
34.3637029634188,Hispanic,Single,0
42.186132327429966,White,Married,1
45.51521272960861,Asian,Married,1
52.810071069608085,Asian,Divorced,1
35.41679503086467,White,Divorced,1
49.40542286537028,Asian,Married,0
51.017193525199694,Other,Married,1
53.940542596094694,Black,Divorced,0
42.34596714734247,Hispanic,Single,0
65.41906063538251,White,Married,1
29.9062708509357,Asian,Divorced,1
70.7693739833787,Asian,Divorced,0
61.91345068336904,White,Divorced,0
46.07879621277533,Black,Single,0
35.12974913857787,Hispanic,Single,0
70.5605679249918,Hispanic,Married,0
62.72499627298431,White,Married,1
46.54271898230551,White,Single,1
71.2913967078111,Hispanic,Married,1
50.42762256173346,Hispanic,Divorced,0
51.87011941038594,Other,Divorced,1
43.3866501885214,Asian,Divorced,1
48.44033596318788,Other,Single,0
50.121417760232895,Other,Married,1
63.678285721848326,Asian,Married,1
70.24306432432326,Hispanic,Married,0
43.245733138241995,White,Married,1
74.95029933504128,Black,Divorced,0
53.423461024275866,Black,Married,1
39.90304466556406,Asian,Single,1
70.01399745321494,Other,Single,0
43.21990759443307,Hispanic,Married,0
53.536127261877915,Other,Single,0
41.21325594428286,Hispanic,Single,0
58.634733189534266,Other,Divorced,0
67.1986371169911,White,Married,1
48.8449008736359,Asian,Married,1
29.274815113437032,White,Married,0
54.27315846978815,Other,Single,1
42.949765441126175,White,Single,1
26.233519368624343,Black,Single,0
53.73259652039233,Asian,Single,0
46.20080769390422,White,Divorced,1
63.39945843623123,Asian,Single,1
42.48781521893843,Black,Married,1
53.79725168585051,Asian,Divorced,0
43.63519784938243,Black,Divorced,0
59.74752732669659,White,Divorced,1
37.021315781070875,Other,Divorced,1
66.60059505101549,White,Married,1
53.66108098244731,White,Married,1
44.90334233810347,White,Divorced,1
72.73350159899239,Other,Married,0
43.359174714189344,Asian,Married,0
46.462245468118326,Asian,Single,1
53.271680796033216,Black,Divorced,1
63.36855908730902,Asian,Married,1
54.300270823035845,Other,Married,1
52.41782404532853,Hispanic,Married,0
26.56430286596476,Hispanic,Single,0
40.66341153621119,Black,Married,1
44.0393227431267,Asian,Single,0
71.13207830612703,Black,Single,0
25.235645154691312,Asian,Married,1
54.65105040492059,Asian,Single,0
41.79447237553643,Other,Married,0
80.61794532175654,Asian,Married,1
39.91920076645789,Other,Married,1
46.988237986459445,Hispanic,Divorced,0
27.245749731729706,Other,Divorced,0
47.35367605766195,Other,Married,0
56.91806655192052,White,Single,1
44.46345928650336,Asian,Married,1
68.3953740038317,Hispanic,Single,0
62.293621069882036,Hispanic,Single,1
45.42461038067365,White,Divorced,0
40.05810915409858,Other,Married,1
34.8303636045801,Asian,Married,1
17.388523359264713,Other,Married,1
49.67837009619523,Hispanic,Divorced,0
52.874588318259,Other,Single,0
67.29646138248054,Hispanic,Divorced,0
70.2308495080512,White,Married,1
53.13774040384296,Other,Married,1
47.623842263251596,Other,Married,0
58.26880942977303,Hispanic,Divorced,0
54.97582010643495,Asian,Married,0
54.812358288397164,White,Divorced,0
61.85365531816887,Hispanic,Divorced,0
59.45483190736796,White,Divorced,1
54.88872880726853,Other,Married,1
43.832678961447236,White,Single,0
47.87452343605299,Hispanic,Single,0
54.050185015450765,Black,Single,1
55.42975894897051,Black,Married,1
50.100728062151944,Black,Single,1
53.87572811736841,White,Divorced,0
59.86293736523967,Asian,Married,0
51.007625822777115,White,Single,1
68.17050540087352,White,Married,1
40.98843670397711,Asian,Married,0
60.91999252224436,Hispanic,Divorced,0
32.864616462353084,Hispanic,Single,0
49.94423878600738,Hispanic,Single,0
33.82996312541842,Asian,Divorced,0
60.24191927788341,Black,Divorced,0
26.42091301598672,Hispanic,Single,0
61.823318154359676,White,Married,1
52.63246788812312,Hispanic,Single,0
28.478551272449725,Asian,Divorced,0
64.64817939431296,White,Divorced,1
48.17950240533833,Other,Divorced,1
69.31907045981579,Black,Divorced,0
40.60017752274082,Hispanic,Single,1
39.964954378670626,Asian,Divorced,1
48.678057794015224,Other,Single,0
49.98263971881714,Hispanic,Divorced,0
44.28225505151542,Black,Divorced,0
42.27249894027809,White,Single,0
31.32932077066898,Black,Divorced,0
63.24156885456785,White,Divorced,1
32.17693279245547,Black,Single,0
75.1728550963574,Other,Married,1
66.62310691321197,Black,Divorced,1
53.587377817800416,White,Divorced,1
70.0505263869366,Asian,Married,1
49.65875491390549,Asian,Single,0
53.43225649166441,Other,Married,0
45.60603756630778,Black,Single,0
51.29825861519838,White,Single,1
51.715690387162006,Black,Single,1
31.24833680681806,Hispanic,Single,0
48.06310296279407,Hispanic,Single,0
19.56035761211788,Asian,Single,1
32.98046948732618,White,Married,1
70.59195283352001,Hispanic,Single,0
35.1037054148844,Asian,Single,1
58.621808287868014,Other,Single,1
54.53975264063541,White,Married,1
64.36725808801964,White,Single,0
32.3399116542513,Black,Married,0
56.09910642534151,Black,Single,1
68.4516861868491,White,Single,1
53.13201962411627,Hispanic,Single,1
24.516625713508734,Hispanic,Single,0
49.197753414378575,Other,Married,1
49.366899819499864,Other,Married,0
45.436013755295804,Asian,Divorced,0
60.03836573374355,Other,Married,1
43.30768894667765,Asian,Single,1
63.74826705198686,Black,Married,0
30.020500756173984,Black,Married,0
55.17878111922577,Asian,Single,1
60.08245053049306,Black,Single,0
44.61882988133582,White,Divorced,1
45.499270027748146,Asian,Divorced,1
53.77341413274062,Black,Married,1
22.37108106029283,Hispanic,Single,1
51.00921375669103,Asian,Single,0
33.66304050747144,Black,Married,0
26.972201315515985,Black,Divorced,0
46.31418156172915,White,Divorced,0
36.082733657497556,White,Married,1
41.40491381236486,Black,Married,0
53.26560015360928,Asian,Single,1
54.60565054534428,Other,Divorced,1
60.24732311778183,Black,Single,1
59.5649033316779,White,Divorced,1
26.980520545899,Asian,Married,0
21.225209342140086,Black,Single,0
39.390554089113124,Other,Single,1
54.28277722446706,Hispanic,Single,1
25.135582461893208,Asian,Married,1
53.20075869896575,Asian,Divorced,1
67.50825270612881,Hispanic,Divorced,0
41.05178237624516,Hispanic,Single,0
82.4660292534083,Asian,Divorced,1
76.31897419632728,Asian,Married,1
35.48014998917774,Black,Divorced,0
52.78048335472838,Asian,Married,1
41.777321119293354,Asian,Single,1
46.6465558439744,Hispanic,Single,0
71.22612318958865,Black,Single,1
48.402744261228484,White,Single,0
43.28536713938718,Hispanic,Divorced,0
57.21506659152197,Asian,Married,1
47.161064277122776,Black,Single,0
63.60557495372642,Other,Divorced,1
30.310568719432364,White,Divorced,0
54.44608652393328,Black,Single,1
50.78836991511496,Black,Divorced,1
66.2129575463701,Hispanic,Single,0
30.82383172813706,White,Married,1
54.95959335156488,Other,Single,0
60.627215714397416,White,Single,1
46.35669178275903,Hispanic,Divorced,0
55.36576705322279,Black,Divorced,0
39.245995767902905,Other,Married,0
0.14796910968345037,Hispanic,Divorced,0
48.88744675245512,Other,Married,0
62.24998017287749,White,Married,1
33.724576046996134,White,Married,1
50.29798021044743,Hispanic,Divorced,1
66.50718419034412,Asian,Single,1
44.25577588045761,White,Married,0
47.27053491548635,Hispanic,Divorced,0
57.701308243683286,Other,Single,0
65.64073022460849,Other,Married,1
10.93522994672331,Hispanic,Divorced,0
64.69828138589821,Other,Single,0
57.749406628229536,Asian,Married,1
53.16160286999265,Asian,Married,1
45.0784254833356,White,Divorced,1
48.42553620891738,Hispanic,Married,0
78.04828195905388,Asian,Married,1
28.845873876367172,Hispanic,Married,0
55.12674575630775,White,Single,1
62.95312316623141,Asian,Divorced,1
43.693182795814685,Asian,Divorced,0
31.612730876424067,Other,Married,1
54.88529204349046,Other,Divorced,1
42.574072194535724,White,Divorced,1
69.07063866701358,Asian,Married,1
52.8228753209697,Hispanic,Single,1
46.640390294851976,Black,Divorced,0
42.622906237360375,Other,Married,0
75.22586050393518,White,Divorced,1
30.034374290512886,Black,Married,0
40.487553176223265,White,Married,1
