sitcode,treat,age,site_pr,sexr,displace,radlist,dissent,dissent.f
8,0,42,4,0,2,2,4,4
5,0,28,3,1,1,1,4,4
11,0,39,6,1,2,2,4,4
8,0,34,4,0,2,1,3,3
10,0,18,5,1,2,2,3,3
5,0,66,3,1,1,1,4,4
11,0,42,6,1,1,2,4,4
8,0,22,4,0,2,2,4,4
13,0,49,7,1,2,2,3,3
13,0,54,7,0,1,2,1,1
5,0,47,3,1,1,1,4,4
11,0,41,6,1,1,2,1,1
4,0,34,2,0,2,2,1,1
8,0,24,4,1,2,2,1,1
10,0,50,5,1,2,2,1,1
13,0,44,7,0,2,2,3,3
1,0,23,1,0,1,2,NA,NA
8,0,37,4,1,1,2,2,2
11,0,42,6,1,3,3,3,3
13,0,55,7,0,3,3,4,4
10,0,19,5,1,1,1,3,3
4,0,23,2,0,2,1,4,4
11,0,42,6,1,1,2,2,2
13,0,27,7,0,1,2,1,1
4,0,43,2,1,1,1,2,2
5,0,50,3,0,2,1,4,4
1,0,49,1,1,1,2,4,4
13,0,76,7,0,3,3,1,1
4,0,43,2,0,3,3,2,2
11,0,31,6,1,3,3,1,1
11,0,49,6,0,2,1,3,3
8,0,21,4,0,2,2,1,1
5,0,48,3,1,1,1,1,1
11,0,42,6,0,2,1,4,4
8,0,50,4,0,1,2,4,4
13,0,32,7,0,1,2,4,4
4,0,33,2,0,2,2,4,4
10,0,16,5,0,2,2,1,1
8,0,42,4,1,1,2,4,4
5,0,28,3,0,2,1,1,1
11,0,27,6,0,1,1,4,4
13,0,61,7,0,2,2,3,3
13,0,40,7,0,1,2,4,4
8,0,55,4,0,2,2,3,3
10,0,51,5,0,1,1,4,4
10,0,48,5,0,1,1,4,4
5,0,44,3,1,2,1,4,4
5,0,43,3,1,1,2,1,1
8,0,60,4,0,2,1,4,4
5,0,22,3,0,2,1,2,2
8,0,52,4,0,1,1,4,4
1,0,74,1,1,1,2,3,3
5,0,39,3,0,2,1,1,1
4,0,21,2,1,2,1,4,4
13,0,39,7,0,3,3,4,4
11,0,55,6,1,2,2,1,1
8,0,43,4,0,2,1,1,1
1,0,22,1,1,1,2,1,1
10,0,38,5,0,1,1,4,4
4,0,48,2,1,1,1,2,2
4,0,19,2,1,2,2,1,1
4,0,29,2,0,1,1,4,4
13,0,35,7,0,3,3,4,4
1,0,87,1,1,1,1,1,1
1,0,60,1,1,1,1,1,1
1,0,50,1,0,1,1,1,1
5,0,65,3,1,2,1,1,1
13,0,33,7,0,3,3,4,4
8,0,73,4,0,2,2,1,1
13,0,33,7,0,2,2,2,2
5,0,23,3,1,1,1,1,1
13,0,30,7,1,2,1,4,4
11,0,36,6,0,2,1,1,1
1,0,38,1,1,1,2,4,4
13,0,49,7,0,1,2,4,4
4,0,51,2,0,2,1,4,4
10,0,33,5,0,1,2,4,4
13,0,37,7,0,3,3,1,1
8,0,62,4,1,2,2,4,4
8,0,29,4,1,2,2,2,2
4,0,32,2,0,2,1,4,4
5,0,28,3,1,1,1,4,4
13,0,28,7,1,3,3,3,3
8,0,28,4,0,1,2,2,2
5,0,40,3,1,2,1,3,3
8,0,70,4,0,2,1,1,1
8,0,54,4,1,2,1,4,4
4,0,30,2,0,1,2,4,4
10,0,25,5,0,1,2,3,3
10,0,38,5,0,3,3,4,4
5,0,29,3,1,2,2,4,4
5,0,28,3,1,1,2,4,4
8,0,49,4,0,3,3,1,1
11,0,50,6,1,1,1,1,1
10,0,45,5,0,2,2,1,1
11,0,55,6,1,2,1,2,2
13,0,42,7,1,2,2,3,3
10,0,35,5,0,2,2,4,4
11,0,35,6,1,1,1,3,3
